




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	Genome_unique.bed (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Genome_unique.bed (101)	Genome_unique.bed (expected)	Genome_unique.bed (over/under)	Genome_unique.bed (fold Enrichment)	Genome_unique.bed (raw P-value)	Genome_unique.bed (FDR)
malonyl-CoA biosynthetic process (GO:2001295)	2	2	.01	+	 > 100	1.41E-04	1.31E-02
cAMP transport (GO:0070730)	2	2	.01	+	 > 100	1.41E-04	1.30E-02
thioester transport (GO:1901337)	2	2	.01	+	 > 100	1.41E-04	1.29E-02
ceramide translocation (GO:0099040)	2	2	.01	+	 > 100	1.41E-04	1.28E-02
sphingolipid translocation (GO:0099039)	4	4	.02	+	 > 100	3.68E-08	1.16E-05
fatty-acyl-CoA transport (GO:0015916)	2	2	.01	+	 > 100	1.41E-04	1.28E-02
long-chain fatty acid import into peroxisome (GO:0015910)	4	4	.02	+	 > 100	3.68E-08	1.14E-05
heme transmembrane transport (GO:0035351)	2	2	.01	+	 > 100	1.41E-04	1.27E-02
leukotriene transport (GO:0071716)	7	6	.03	+	 > 100	1.94E-11	1.09E-08
mesenchyme migration (GO:0090131)	5	4	.02	+	 > 100	6.61E-08	1.70E-05
xenobiotic transmembrane transport (GO:0006855)	7	5	.03	+	 > 100	1.93E-09	7.98E-07
very long-chain fatty acid catabolic process (GO:0042760)	7	5	.03	+	 > 100	1.93E-09	7.78E-07
carnitine metabolic process, CoA-linked (GO:0019254)	3	2	.01	+	 > 100	2.34E-04	1.95E-02
xenobiotic transport across blood-brain barrier (GO:1990962)	6	4	.03	+	 > 100	1.10E-07	2.69E-05
positive regulation of tetrapyrrole biosynthetic process (GO:1901465)	3	2	.01	+	 > 100	2.34E-04	1.94E-02
positive regulation of heme biosynthetic process (GO:0070455)	3	2	.01	+	 > 100	2.34E-04	1.93E-02
canalicular bile acid transport (GO:0015722)	3	2	.01	+	 > 100	2.34E-04	1.92E-02
citrate metabolic process (GO:0006101)	5	3	.02	+	 > 100	6.21E-06	9.66E-04
glutathione transmembrane transport (GO:0034775)	6	3	.03	+	 > 100	9.28E-06	1.34E-03
positive regulation of tetrapyrrole metabolic process (GO:1901403)	4	2	.02	+	 > 100	3.49E-04	2.68E-02
cytosol to endoplasmic reticulum transport (GO:0046967)	4	2	.02	+	 > 100	3.49E-04	2.66E-02
terpenoid transport (GO:0046865)	4	2	.02	+	 > 100	3.49E-04	2.65E-02
isoprenoid transport (GO:0046864)	4	2	.02	+	 > 100	3.49E-04	2.64E-02
regulation of transepithelial transport (GO:0150111)	4	2	.02	+	 > 100	3.49E-04	2.63E-02
positive regulation of phospholipid efflux (GO:1902995)	4	2	.02	+	 > 100	3.49E-04	2.61E-02
regulation of phospholipid efflux (GO:1902994)	4	2	.02	+	 > 100	3.49E-04	2.60E-02
positive regulation of activin receptor signaling pathway (GO:0032927)	7	3	.03	+	87.39	1.32E-05	1.80E-03
tripeptide transmembrane transport (GO:0035443)	7	3	.03	+	87.39	1.32E-05	1.79E-03
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	10	4	.05	+	81.56	5.15E-07	1.08E-04
isoleucine catabolic process (GO:0006550)	5	2	.02	+	81.56	4.87E-04	3.45E-02
apolipoprotein A-I-mediated signaling pathway (GO:0038027)	5	2	.02	+	81.56	4.87E-04	3.43E-02
regulation of tetrapyrrole biosynthetic process (GO:1901463)	5	2	.02	+	81.56	4.87E-04	3.42E-02
sensory perception of sour taste (GO:0050915)	5	2	.02	+	81.56	4.87E-04	3.40E-02
regulation of heme biosynthetic process (GO:0070453)	5	2	.02	+	81.56	4.87E-04	3.39E-02
regulation of bile acid secretion (GO:0120188)	5	2	.02	+	81.56	4.87E-04	3.37E-02
long-chain fatty acid catabolic process (GO:0042758)	5	2	.02	+	81.56	4.87E-04	3.36E-02
adenosine to inosine editing (GO:0006382)	8	3	.04	+	76.47	1.81E-05	2.37E-03
glutathione transport (GO:0034635)	8	3	.04	+	76.47	1.81E-05	2.35E-03
xenobiotic transport (GO:0042908)	39	14	.19	+	73.20	3.50E-21	2.75E-17
malonyl-CoA metabolic process (GO:2001293)	6	2	.03	+	67.97	6.48E-04	4.31E-02
fatty acid transmembrane transport (GO:1902001)	12	4	.06	+	67.97	9.30E-07	1.76E-04
cyclic nucleotide transport (GO:0070729)	6	2	.03	+	67.97	6.48E-04	4.30E-02
regulation of tetrapyrrole metabolic process (GO:1901401)	6	2	.03	+	67.97	6.48E-04	4.28E-02
oligopeptide transmembrane transport (GO:0035672)	12	4	.06	+	67.97	9.30E-07	1.74E-04
prostaglandin transport (GO:0015732)	6	2	.03	+	67.97	6.48E-04	4.26E-02
skeletal muscle thin filament assembly (GO:0030240)	6	2	.03	+	67.97	6.48E-04	4.24E-02
tripeptide transport (GO:0042939)	9	3	.04	+	67.97	2.40E-05	3.05E-03
oligopeptide transport (GO:0006857)	14	4	.07	+	58.26	1.55E-06	2.77E-04
